variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems,h2l_mean_top5
w/o IDF Specificity,ELDER_007_ESC_01,complex,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04855508994038489,0,0.030732341999999996
w/o IDF Specificity,DISABLED_001_ESC_01,complex,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.08834535667017779,2,0.767319324
w/o IDF Specificity,DISABLED_005_ESC_01,complex,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.2413279286370993,3,1.6310229020000002
w/o IDF Specificity,DISABLED_009_ESC_01,complex,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09214242674638708,2,0.803893572
w/o IDF Specificity,HOMELESS_003_ESC_01,complex,คนเร่ร่อน/ไร้ที่อยู่,0.4,0.6666666666666666,0.5,0.7653606369886217,0.7916666666666666,1.0,False,0.18730583567757014,4,1.310651144
w/o IDF Specificity,MENTAL_003_ESC_01,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.027134264632526307,1,0.38124923
w/o IDF Specificity,MENTAL_007_ESC_01,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,False,0.03522888724839165,1,0.473917016
w/o IDF Specificity,CHILD_002_SIM_01,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04711087332017431,0,0.031068912000000004
w/o IDF Specificity,CHILD_005_SIM_01,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0486809954421236,0,0.029614604
w/o IDF Specificity,ELDER_004_SIM_01,simple,ผู้สูงอายุ,0.2,0.3333333333333333,0.25,0.23463936301137822,0.27136752136752135,0.3333333333333333,True,0.04519348541341765,0,0.030176364
w/o IDF Specificity,ELDER_008_SIM_01,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.07673846767048036,0,0.03013534
w/o IDF Specificity,ELDER_010_SIM_01,simple,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333,True,0.08603515894309889,0,0.03113127
w/o IDF Specificity,DISABLED_003_SIM_01,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04455674549540396,0,0.030547407999999998
w/o IDF Specificity,DISABLED_007_SIM_01,simple,คนพิการ,0.2,0.5,0.28571428571428575,0.38685280723454163,0.39285714285714285,0.5,True,0.04720857893949622,0,0.030820122
w/o IDF Specificity,HOMELESS_002_SIM_01,simple,คนเร่ร่อน/ไร้ที่อยู่,0.0,0.0,0.0,0.0,0.0,0.0,True,0.036642581242552964,0,0.030239815999999996
w/o IDF Specificity,HOMELESS_005_SIM_01,simple,คนเร่ร่อน/ไร้ที่อยู่,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03973980717523305,0,0.031339352
w/o IDF Specificity,MENTAL_002_SIM_01,simple,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,0.0,0.0,0.0,0.0,0.0,0.0,True,0.07357744217470936,0,0.030789564
